2026-05-26 23:45:38|56.0|1.08|13.0|28.6|1019|8231
2026-05-26 23:45:40|55.0|1.08|13.0|28.6|1018|8231
2026-05-26 23:45:42|54.5|1.08|13.0|28.6|1018|8231
2026-05-26 23:45:44|55.5|1.07|13.0|28.6|1018|8231
2026-05-26 23:45:46|55.5|1.07|13.0|28.6|1018|8231
2026-05-26 23:45:48|56.0|1.07|13.0|28.6|1018|8231
2026-05-26 23:45:50|54.5|1.07|13.0|28.6|1018|8231
2026-05-26 23:45:52|55.5|1.07|13.0|28.6|1017|8231
2026-05-26 23:45:54|55.5|1.06|13.0|28.6|1014|8231
2026-05-26 23:45:56|56.0|1.06|13.0|28.6|1014|8231
2026-05-26 23:45:58|55.5|1.06|13.0|28.6|1014|8231
2026-05-26 23:46:00|55.0|1.06|13.0|28.6|1014|8231
2026-05-26 23:46:02|56.5|1.06|13.0|28.6|1016|8231
2026-05-27 09:53:05|59.9|1.00|12.9|28.6|1005|8240
2026-05-27 09:53:07|59.9|1.00|12.9|28.6|1005|8240
2026-05-27 09:53:09|60.4|1.00|12.9|28.6|1004|8240
2026-05-27 09:53:11|60.4|1.00|12.9|28.6|1005|8240
2026-05-27 09:53:13|59.4|1.00|12.9|28.6|1005|8240
2026-05-27 09:53:15|60.4|1.00|12.8|28.6|1004|8240
2026-05-27 09:53:17|60.4|1.00|12.8|28.6|1004|8240
2026-05-27 09:53:19|59.9|1.00|12.9|28.6|1004|8240
2026-05-27 09:53:21|60.4|1.00|12.8|28.6|1004|8240
